iter	Passed	Remaining
468	719	814
469	720	812
470	721	810
471	722	808
472	723	806
473	724	804
474	725	802
475	726	800
476	728	798
477	729	796
478	730	794
479	731	792
480	732	790
481	733	788
482	734	786
483	735	784
484	736	782
485	738	780
486	739	778
487	740	776
488	741	774
489	742	772
490	743	771
491	744	769
492	745	767
493	747	765
494	748	763
495	749	761
496	750	759
497	751	757
498	752	755
499	753	753
500	754	751
501	755	749
502	756	747
503	758	746
504	759	744
505	760	742
506	761	740
507	762	738
508	763	736
509	764	734
510	765	732
511	766	730
512	768	729
513	769	727
514	770	725
515	771	723
516	772	721
517	773	719
518	774	718
519	775	716
520	777	714
521	778	712
522	779	710
523	780	709
524	781	707
525	782	705
526	783	703
527	784	701
528	785	699
529	787	698
530	788	696
531	789	694
532	790	692
533	791	690
534	792	689
535	793	687
536	795	685
537	796	683
538	797	681
539	798	679
540	799	678
541	800	676
542	801	674
543	802	672
544	803	671
545	804	669
546	806	667
547	807	666
548	808	664
549	809	662
550	810	660
551	811	658
552	813	657
553	814	655
554	815	653
555	816	652
556	817	650
557	818	648
558	819	646
559	820	645
560	822	643
561	823	641
562	824	639
563	825	637
564	826	636
565	827	634
566	828	632
567	829	631
568	831	629
569	832	627
570	833	626
571	834	624
572	836	623
573	837	621
574	838	619
575	839	617
576	840	616
577	842	614
578	843	613
579	844	611
580	846	610
581	847	608
582	848	607
583	849	605
584	851	603
585	852	602
586	853	600
587	854	598
588	855	596
589	856	595
590	857	593
591	859	592
592	860	590
593	861	588
594	862	587
595	863	585
596	864	583
597	866	582
598	867	580
599	868	579
600	869	577
601	871	575
602	872	574
603	873	572
604	875	571
605	876	569
606	877	568
607	878	566
608	880	565
609	881	563
610	882	561
611	883	560
612	884	558
613	886	557
614	887	555
615	888	554
616	890	552
617	891	551
618	892	549
619	893	547
620	894	546
621	896	544
622	897	542
623	898	541
624	899	539
625	900	538
626	901	536
627	903	534
628	904	533
629	905	531
630	906	530
631	908	528
632	909	527
633	910	525
634	911	523
635	912	522
636	913	520
637	914	519
638	916	517
639	917	516
640	918	514
641	920	513
642	921	511
643	922	510
644	923	508
645	924	506
646	926	505
647	927	503
648	928	502
649	929	500
650	930	498
651	932	497
652	933	495
653	934	494
654	935	492
655	936	491
656	938	489
657	939	488
658	940	486
659	941	484
660	942	483
661	943	481
662	944	480
663	946	478
664	947	477
665	948	475
666	950	474
667	951	472
668	952	471
669	953	469
670	954	468
671	955	466
672	956	464
673	958	463
674	959	461
675	960	460
676	961	458
677	962	457
678	964	455
679	965	454
680	966	452
681	967	451
682	968	449
683	969	448
684	971	446
685	972	445
686	973	443
687	974	442
688	975	440
689	976	438
690	978	437
691	979	435
692	980	434
693	981	432
694	982	431
695	984	429
696	985	428
697	986	426
698	987	425
699	989	423
700	990	422
701	991	420
702	992	419
703	994	417
704	995	416
705	996	414
706	997	413
707	998	411
708	1000	410
709	1001	409
710	1002	407
711	1003	406
712	1004	404
713	1006	402
714	1007	401
715	1008	399
716	1009	398
717	1010	396
718	1011	395
719	1013	393
720	1014	392
721	1015	390
722	1016	389
723	1017	388
724	1019	386
725	1020	385
726	1021	383
727	1022	382
728	1023	380
729	1025	379
730	1026	377
731	1027	376
732	1028	374
733	1029	373
734	1030	371
735	1031	370
736	1033	368
737	1034	367
738	1035	365
739	1036	364
740	1037	362
741	1039	361
742	1040	359
743	1041	358
744	1042	356
745	1043	355
746	1044	353
747	1045	352
748	1046	350
749	1048	349
750	1049	347
751	1050	346
752	1051	344
753	1052	343
754	1053	341
755	1054	340
756	1055	338
757	1057	337
758	1058	336
759	1059	334
760	1060	333
761	1061	331
762	1062	330
763	1063	328
764	1064	327
765	1065	325
766	1066	324
767	1068	322
768	1069	321
769	1070	319
770	1071	318
771	1072	316
772	1073	315
773	1074	313
774	1076	312
775	1077	310
776	1078	309
777	1079	307
778	1080	306
779	1081	305
780	1082	303
781	1083	302
782	1085	300
783	1086	299
784	1087	297
785	1088	296
786	1089	294
787	1090	293
788	1091	291
789	1092	290
790	1093	288
791	1094	287
792	1095	286
793	1096	284
794	1098	283
795	1099	281
796	1100	280
797	1101	278
798	1102	277
799	1103	275
800	1105	274
801	1106	273
802	1107	271
803	1108	270
804	1109	268
805	1110	267
806	1111	265
807	1112	264
808	1113	263
809	1115	261
810	1116	260
811	1117	258
812	1118	257
813	1119	255
814	1120	254
815	1121	252
816	1122	251
817	1123	250
818	1124	248
819	1125	247
820	1127	245
821	1128	244
822	1129	242
823	1130	241
824	1131	240
825	1133	238
826	1134	237
827	1135	235
828	1136	234
829	1137	232
830	1138	231
831	1139	230
832	1140	228
833	1141	227
834	1143	225
835	1144	224
836	1146	223
837	1147	221
838	1148	220
839	1149	219
840	1150	217
841	1152	216
842	1153	214
843	1154	213
844	1155	211
845	1157	210
846	1158	209
847	1159	207
848	1160	206
849	1161	205
850	1163	203
851	1164	202
852	1165	200
853	1166	199
854	1167	198
855	1168	196
856	1170	195
857	1171	193
858	1172	192
859	1173	191
860	1174	189
861	1175	188
862	1177	186
863	1178	185
864	1179	184
865	1180	182
866	1181	181
867	1182	179
868	1183	178
869	1184	177
870	1185	175
871	1187	174
872	1188	172
873	1189	171
874	1190	170
875	1191	168
876	1193	167
877	1194	165
878	1195	164
879	1196	163
880	1197	161
881	1198	160
882	1199	158
883	1200	157
884	1201	156
885	1202	154
886	1204	153
887	1205	152
888	1206	150
889	1207	149
890	1208	147
891	1209	146
892	1210	145
893	1211	143
894	1212	142
895	1214	140
896	1215	139
897	1217	138
898	1218	136
899	1220	135
900	1221	134
901	1222	132
902	1223	131
903	1224	130
904	1225	128
905	1227	127
906	1228	125
907	1229	124
908	1230	123
909	1231	121
910	1233	120
911	1234	119
912	1235	117
913	1236	116
914	1237	114
915	1238	113
916	1239	112
917	1240	110
918	1241	109
919	1243	108
920	1244	106
921	1245	105
922	1246	103
923	1247	102
924	1248	101
925	1249	99
926	1251	98
927	1252	97
928	1253	95
929	1254	94
930	1255	93
931	1256	91
932	1257	90
933	1258	88
934	1259	87
935	1261	86
936	1262	84
937	1263	83
938	1264	82
939	1265	80
940	1266	79
941	1267	78
942	1268	76
943	1270	75
944	1271	73
945	1272	72
946	1273	71
947	1274	69
948	1275	68
949	1276	67
950	1278	65
951	1279	64
952	1280	63
953	1281	61
954	1282	60
955	1283	59
956	1284	57
957	1285	56
958	1286	55
959	1288	53
960	1289	52
961	1290	50
962	1291	49
963	1292	48
964	1293	46
965	1294	45
966	1295	44
967	1296	42
968	1298	41
969	1299	40
970	1300	38
971	1301	37
972	1302	36
973	1303	34
974	1304	33
975	1305	32
976	1307	30
977	1308	29
978	1309	28
979	1310	26
980	1311	25
981	1312	24
982	1313	22
983	1314	21
984	1315	20
985	1316	18
986	1318	17
987	1319	16
988	1320	14
989	1321	13
990	1322	12
991	1323	10
992	1324	9
993	1326	8
994	1327	6
995	1328	5
996	1329	4
997	1330	2
998	1331	1
999	1332	0
